level_3rd,skill_type,tags
ETL工程师,ETL工具,DataX|_|Informatica|_|Kettle|_|Powercenter|_|Talend
ETL工程师,Hadoop组件/工具,Flink|_|Flume|_|HDFS|_|Hadoop|_|Hbase|_|Impala|_|Kafka|_|MapReduce|_|Spark|_|Sqoop|_|Storm|_|Yarn
ETL工程师,技术工作内容,报表开发|_|数据中台|_|数据仓库架构|_|数据建模|_|数据架构|_|数据清洗|_|数据调研|_|数据迁移|_|数据运维|_|数据集市|_|模型设计
ETL工程师,报表工具,FineBI|_|SmartBI|_|帆软报表|_|永洪|_|润乾
ETL工程师,数据库类型,DB2|_|GBase|_|Greenplum|_|MySQL|_|Oracle|_|PostgreSQL|_|SQL Server|_|Teradata|_|Vertica
ETL工程师,数据职能,DBA|_|ETL|_|数据仓库|_|数据分析|_|数据库开发|_|数据挖掘|_|数据治理|_|数据采集
ETL工程师,计算机语言方向,Perl|_|Python|_|SQL|_|Scala|_|Shell
Erlang,后端框架,SpringBoot|_|SpringCloud
Erlang,技术类型,Socket技术|_|分布式技术|_|多线程|_|多进程|_|微服务架构|_|数据结构|_|消息队列|_|网络协议
Erlang,系统类型,Linux|_|PC端|_|Web端|_|Windows
Erlang,计算机语言方向,C#|_|C++|_|C语言|_|Golang|_|Java|_|PHP|_|Python|_|Ruby
FAE,硬件工作方向,器件选型|_|驱动开发
FAE,计算机语言方向,C语言|_|Java
FAE,设计软件,CAD
FPGA开发,EDA软件,Cadence|_|Protel
FPGA开发,硬件工作方向,ARM开发|_|ARM开发|_|PCB设计|_|RTL设计|_|嵌入式硬件开发|_|嵌入式软件开发|_|电路设计|_|芯片测试|_|驱动开发
FPGA开发,硬件工具,AD|_|Quartus II
FPGA开发,计算机语言方向,C语言|_|SystemC|_|VHDL|_|Verilog
FPGA开发,设计软件,CAD
Flash开发,前端框架,Angular|_|AngularJS|_|Avalon|_|Bootstrap|_|Dojo|_|Ember.js|_|ExtJS|_|Native.js|_|React|_|React.JS|_|RequireJS|_|Vue|_|weex
Flash开发,动画设计方向,场景设计|_|角色设计
Flash开发,计算机语言方向,AS3|_|AS3|_|ActionScript|_|ActionScript|_|CSS3|_|HTML|_|HTML5|_|SQL
Flash开发,软件开发工具,DIV+CSS|_|DirectX|_|OpenGL
GIS,GIS常用构架/平台,ArcGIS|_|Cesium|_|Gdal|_|GeoTools|_|Gvsig|_|MapBox GL|_|Mapnik|_|OSGEarth|_|Openjump|_|QGIS|_|SuperMap|_|WebGL|_|WorldWind
GIS,后端框架,Leaflet|_|MapEasy
GIS,技术工作内容,GIS算法|_|三维GIS|_|三维开发|_|三维渲染|_|空间数据库|_|遥感|_|遥感影像
GIS,数据库类型,Access|_|ArCSDE|_|MySQL|_|Oracle|_|PostGIS|_|PostgreSQL|_|SQL Server
GIS,计算机语言方向,C#|_|CSS|_|GLSL|_|HTML|_|Java
GIS,软件开发工具,3D引擎|_|ArcCatalog|_|ArcEngine|_|ArcGIS|_|ArcMap|_|Cesium|_|CesiumJS|_|ENVI|_|Erdas|_|GDAL|_|GeoMesa|_|GeoTools|_|MapGIS|_|Mapbox|_|OSGEarth|_|OpenGIS|_|OpenGL|_|QGIS|_|SuperMap|_|WebGL|_|uDig
GIS工程师,GIS常用构架/平台,ArcGIS|_|Cesium|_|Gdal|_|GeoTools|_|Gvsig|_|MapBox GL|_|Mapnik|_|OSGEarth|_|Openjump|_|QGIS|_|SuperMap|_|WebGL|_|WorldWind
GIS工程师,后端框架,Leaflet|_|MapEasy
GIS工程师,技术工作内容,GIS算法|_|三维GIS|_|三维开发|_|三维渲染|_|空间数据库|_|遥感|_|遥感影像
GIS工程师,数据库类型,Access|_|ArCSDE|_|MySQL|_|Oracle|_|PostGIS|_|PostgreSQL|_|SQL Server
GIS工程师,计算机语言方向,C#|_|CSS|_|GLSL|_|HTML|_|Java
